t_s,cpu_pct,rss_mb,threads
1,46,1264,29
2,56,1297,35
3,48,1287,29
4,55,1275,29
5,72,1260,29
6,78,1237,29
7,51,1301,34
8,41,1302,34
9,44,1303,34
10,78,1276,34
12,78,1274,31
13,64,1307,29
14,53,1275,29
15,47,1275,29
16,75,1279,29
17,84,1317,33
18,60,1335,27
19,72,1281,27
21,54,1126,29
22,49,1043,29
23,48,815,30
24,44,788,30
25,82,793,30
26,90,796,30
