t_s,cpu_pct,rss_mb,threads
1,73,753,29
2,49,760,29
3,105,755,29
5,109,773,30
6,109,849,29
7,109,1188,30
8,49,1156,30
10,78,1150,30
11,59,1246,31
12,55,1238,31
13,51,1252,31
15,87,1141,31
16,124,1184,37
18,46,1210,30
21,83,877,30
22,129,734,37
24,60,799,28
26,85,799,28
27,104,678,36
29,81,785,27
30,92,788,28
32,67,797,28
33,69,757,29
35,55,738,29
36,54,742,29
37,90,745,29
38,75,828,28
39,43,683,28
40,29,685,28
