t_s,cpu_pct,rss_mb,threads
2,70,830,29
3,65,713,29
4,50,709,29
5,61,791,29
6,64,793,29
8,90,746,29
9,85,749,29
10,61,791,28
12,61,767,28
13,67,698,28
14,85,665,28
15,71,771,27
16,81,1226,27
17,53,1243,27
19,63,1244,27
20,82,1150,25
21,50,1245,28
22,49,1236,28
23,60,1238,28
24,65,1241,28
25,51,1274,28
26,49,1267,27
27,63,1263,27
28,34,1265,27
29,19,1267,27
30,8,1257,29
