t_s,js_fps,js_jank,ui_fps,ui_jank,cpu_pct,mem_mb
1,49,3,56,1,81,0
1,49,3,56,1,81,0
2,49,59,0,3,49,4
2,59,0,49,4,72,0
3,59,0,43,49,4,5
3,56,2,43,5,73,0
3,56,2,43,5,73,0
4,60,0,48,3,85,0
4,60,0,48,3,85,0
5,60,0,48,4,69,0
5,60,0,44,48,4,5
6,60,0,44,5,75,0
